name,popularity,followers,genres,spotify_url
Taylor Swift,98,135193310,,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
Drake,98,97509366,"rap, hip hop",https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
SZA,94,28692154,r&b,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP
Rihanna,92,66351752,,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
Peso Pluma,92,20637961,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, electro corridos, banda",https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ
Rauw Alejandro,91,27652166,"reggaeton, urbano latino, trap latino, latin",https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq
Lana Del Rey,91,46188701,,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa
Tate McRae,91,7347449,,https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym
Neton Vega,90,1804856,"corrido, corridos tumbados, corridos bélicos, electro corridos",https://open.spotify.com/artist/6pV5zH2LzjOUHaAvENdMMa
Ed Sheeran,89,119861182,soft pop,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
David Guetta,89,27008707,"edm, dance",https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai
Gracie Abrams,89,5171471,,https://open.spotify.com/artist/4tuJ0bMpJh08umKkEXKUI5
KAROL G,89,55878604,"reggaeton, latin, urbano latino",https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla
Ozuna,88,38348486,"reggaeton, trap latino, latin, urbano latino",https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY
Selena Gomez,88,52251291,pop,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx
Hozier,86,8648842,,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS
Benson Boone,86,5200241,,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET
Don Omar,85,14322235,"reggaeton, urbano latino",https://open.spotify.com/artist/33ScadVnbm2X8kkUqOkC6Z
Michael Jackson,85,35281830,,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm
Harry Styles,84,33590914,,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3
Flo Rida,82,8907792,,https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY
Kesha,81,8604874,,https://open.spotify.com/artist/6LqNN22kT3074XbTVUrhzX
Madonna,81,8462232,,https://open.spotify.com/artist/6tbjWDEIzxoDsBA1FuhfPW
Bebe Rexha,79,9572251,,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb
Ludacris,79,3276522,southern hip hop,https://open.spotify.com/artist/3ipn9JLAPI5GUEo4y4jcoi
Wyclef Jean,73,389845,,https://open.spotify.com/artist/7aBzpmFXB4WWpPl2F7RjBe
PNAU,73,251867,,https://open.spotify.com/artist/6n28c9qs9hNGriNa72b26u
Nate Ruess,69,301965,,https://open.spotify.com/artist/1qUjOF5fzrpoNycD36b2jZ
