name,popularity,followers,genres,spotify_url
Kendrick Lamar,97,39919288,"hip hop, west coast hip hop",https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg
Kanye West,92,29661374,rap,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
XXXTENTACION,87,49648719,emo rap,https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4
Charli xcx,85,5218122,"hyperpop, art pop",https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5
Mac Miller,85,11656012,,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U
Lil Peep,84,14502850,"emo rap, cloud rap",https://open.spotify.com/artist/2kCcBybjl3SAtIcwdWpUe3
Lil Yachty,80,10617630,,https://open.spotify.com/artist/6icQOAFXDZKsumw3YXyusw
Bring Me The Horizon,80,6345546,"metalcore, emo, screamo, rock, post-hardcore, metal",https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF
Sade,78,4634553,,https://open.spotify.com/artist/47zz7sob9NUcODy0BTDvKx
Outkast,77,3109649,"southern hip hop, hip hop",https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7
Chief Keef,77,5563447,drill,https://open.spotify.com/artist/15iVAtD3s3FsQR4w1v6M0P
Alice In Chains,77,5722655,"grunge, post-grunge",https://open.spotify.com/artist/64tNsm6TnZe2zpcMVMOoHL
BONES,74,1839202,"dark trap, cloud rap, emo rap, horrorcore, underground hip hop, punk rap",https://open.spotify.com/artist/5v2WhpA59TJSdPh7LCx1lN
Clams Casino,72,354087,cloud rap,https://open.spotify.com/artist/5vSQUyT33qxr1xAX2Tkf3A
Neil Young,70,3178548,"classic rock, folk rock, singer-songwriter, roots rock",https://open.spotify.com/artist/6v8FB84lnmJs434UJf2Mrm
Chris Travis,68,558359,"cloud rap, memphis rap, dark trap",https://open.spotify.com/artist/6TxY5T8v9RjF7Ry4XQvWT5
Aphex Twin,67,1640904,"idm, ambient, electronica",https://open.spotify.com/artist/6kBDZFXuLrZgHnvmPu9NsG
Joy Division,64,2663460,"post-punk, new wave, darkwave, madchester, cold wave",https://open.spotify.com/artist/432R46LaYsJZV2Gmc4jUV5
EKKSTACY,63,332227,,https://open.spotify.com/artist/0ynzbXwyCzxicMKHBoOkSH
Che,62,217701,"rage rap, underground hip hop",https://open.spotify.com/artist/5A7T1LAGJg5NXySBoIKUmF
Riovaz,62,286993,,https://open.spotify.com/artist/1bhZt10yZVCJfp3HaNxJv8
dandelion hands,61,289210,spoken word,https://open.spotify.com/artist/6mOWFF6HJ6krnIpW0CHLQm
Amyl and The Sniffers,61,472879,punk,https://open.spotify.com/artist/3NqV2DJoAWsjl787bWaHW7
Black Smurf,59,154876,"dark trap, underground hip hop, cloud rap, horrorcore, emo rap",https://open.spotify.com/artist/0roRnStSzF1uet2JvSM6U3
Sickboyrari,59,245939,cloud rap,https://open.spotify.com/artist/395BAMokcNaqWcCl8uU1ky
Whirr,57,304063,"shoegaze, slowcore, dream pop",https://open.spotify.com/artist/1tnjjbgszXYa8BbyTzwM0w
Wicca Phase Springs Eternal,55,152207,"emo rap, cloud rap",https://open.spotify.com/artist/70AkqfU43ou9hFxJZTDt7A
Lederrick,54,16270,emo rap,https://open.spotify.com/artist/7wT0a0iOAuvNC6tXUav7Xt
bloomcr4zy,51,8535,,https://open.spotify.com/artist/4htVwR0IAfS3kBbQR7uN3t
Concrete Boys,51,87113,sexy drill,https://open.spotify.com/artist/0gUhWNBM04NdCAxYUWlSPJ
Black Kray,51,177926,cloud rap,https://open.spotify.com/artist/7EmyqxxYZltYLKFk9sAHzM
Tigers Jaw,51,232832,"midwest emo, pop punk, emo, emo pop, indie punk, math rock",https://open.spotify.com/artist/0tLaqkKW7K6tc3QF9SM0M8
Provoker,50,65872,"darkwave, post-punk, cold wave",https://open.spotify.com/artist/62s5q1tm3UAcRnbGY9CCI9
Camo!,48,27638,sexy drill,https://open.spotify.com/artist/5A6mIOIg7290CgPHiDmq2b
vvherearewe,40,6873,shoegaze,https://open.spotify.com/artist/093Ym6WqGaWYgwp4njEE8m
Marjorie -W.C. Sinclair,40,19926,cloud rap,https://open.spotify.com/artist/112cbRcCg2YpqBQiB0g7dW
Kid Moon,38,17897,,https://open.spotify.com/artist/3jkVbxrPvjzWzrjXcfXKUM
daine,35,28511,hyperpop,https://open.spotify.com/artist/4lyCoxLN0aW7nJy5rec0tG
Khujo Goodie,34,5732,southern hip hop,https://open.spotify.com/artist/28i3mntNBlXpjstb1nHhkJ
Organ Tapes,30,15442,,https://open.spotify.com/artist/2dSa2lW4FLaQcPlzAcZOTS
Friendzone,30,9503,cloud rap,https://open.spotify.com/artist/7hsE2x3F6Aae8yGrjeVZsQ
Suzy Clue,29,7677,shoegaze,https://open.spotify.com/artist/0gohQ3t7I3QY3fjr7DJtUK
Darcy Baylis,28,3015,emo rap,https://open.spotify.com/artist/3blRQedtHHIGK76BFF1n1P
Wondha Mountain,27,7313,cloud rap,https://open.spotify.com/artist/7MVO9IthVNDLnuQz5SBn75
3NDLES5,24,1780,breakbeat,https://open.spotify.com/artist/1UHjR5NxoDxWX9feUfS6jL
LaVinn,0,105,"hyperpop, glitch, bubblegum pop",https://open.spotify.com/artist/2YJvQBlV1ZQfblf1tTlnwB
