name,popularity,followers,genres,spotify_url
Bad Bunny,100,93468985,"reggaeton, trap latino, latin, urbano latino",https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X
Taylor Swift,98,135193310,,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
Drake,98,97509366,"rap, hip hop",https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
Kendrick Lamar,97,39919288,"hip hop, west coast hip hop",https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg
The Weeknd,97,102745252,,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
Playboi Carti,95,13957455,rage rap,https://open.spotify.com/artist/699OTQXzgjhIYAHMy9RyPD
Billie Eilish,95,109873944,,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Bruno Mars,95,70168128,,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
SZA,94,28692154,r&b,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP
Ariana Grande,94,104677272,pop,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
Travis Scott,94,37942908,rap,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY
Lady Gaga,94,36396820,"art pop, pop",https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
Future,93,21009557,rap,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i
Rihanna,92,66351752,,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
Kanye West,92,29661374,rap,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x
Sabrina Carpenter,92,21027195,,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
Eminem,92,99272732,"rap, hip hop",https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Lana Del Rey,91,46188701,,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa
